,player_id,player,birth_date,height,weight,batting_hand,throwing_hand,position
283,50157,김윤식,2000-04-03,181cm, 83kg,좌타,좌투,P
284,66630,김현준,1997-06-05,182cm, 78kg,우타,우투,P
285,67391,김재웅,1998-10-22,173cm, 88kg,좌타,좌투,P
286,50835,핀토,1994-01-20,183cm, 88kg,우타,우투,P
287,50126,이민호,2001-08-30,189cm, 93kg,우타,우투,P
288,50404,뷰캐넌,1989-05-11,190cm, 90kg,우타,우투,P
289,50234,플렉센,1994-07-01,191cm, 113kg,우타,우투,P
290,50640,가뇽,1990-06-26,193cm, 97kg,우타,우투,P
291,50030,소형준,2001-09-16,189cm, 92kg,우타,우투,P
292,62908,황윤호,1993-09-22,177cm, 78kg,우타,우투,P
293,69098,김성훈,1993-10-27,172cm, 68kg,좌타,우투,P
294,50441,황동재,2001-11-03,191cm, 97kg,우타,우투,P
295,61156,송윤준,1992-07-16,186cm, 78kg,좌타,좌투,P
296,50524,샘슨,1991-01-06,188cm, 102kg,우타,우투,P
297,50449,허윤동,2001-06-19,181cm, 90kg,좌타,좌투,P
298,63464,윤대경,1994-04-09,179cm, 75kg,우타,우투,P
299,69737,노시환,2000-12-03,185cm, 96kg,우타,우투,P
300,75421,오승환,1982-07-15,178cm, 93kg,우타,우투,P
301,50705,강재민,1997-04-03,180cm, 86kg,우타,우투,P
302,50464,이승민,2000-08-26,174cm, 79kg,좌타,좌투,P
303,50726,한승주,2001-03-17,184cm, 83kg,우타,우투,P
304,67954,김진호,1998-06-07,183cm, 90kg,우타,우투,P
305,50662,정해영,2001-08-23,189cm, 98kg,우타,우투,P
306,66663,서덕원,1993-07-12,183cm, 89kg,우타,우투,P
307,63492,이재익,1994-03-18,180cm, 76kg,좌타,좌투,P
308,50360,김동혁,2001-12-27,183cm, 83kg,우타,우투,P
309,50556,최준용,2001-10-10,185cm, 85kg,우타,우투,P
310,69134,이정용,1996-03-26,186cm, 85kg,우타,우투,P
311,67164,이찬혁,1998-08-19,187cm, 90kg,우타,우투,P
312,68902,신민혁,1999-02-04,184cm, 95kg,우타,우투,P
313,63991,박진우,1990-02-12,180cm, 83kg,우타,우언,P
314,63512,박진형,1994-06-10,181cm, 80kg,우타,우투,P
315,63543,구승민,1990-06-12,181cm, 80kg,우타,우투,P
316,69962,송명기,2000-08-09,191cm, 93kg,우타,우투,P
317,79293,오현택,1985-07-17,180cm, 73kg,우타,우언,P
318,62528,김원중,1993-06-14,191cm, 97kg,좌타,우투,P
319,63959,임정호,1990-04-16,188cm, 85kg,좌타,좌투,P
320,64995,배재환,1995-02-24,186cm, 95kg,우타,우투,P
321,77591,송승준,1980-06-29,184cm, 105kg,우타,우투,P
322,76118,원종현,1987-07-31,182cm, 83kg,우타,우언,P
323,69045,알칸타라,1992-12-04,193cm, 100kg,우타,우투,P
324,69343,요키시,1989-07-29,188cm, 93kg,우타,좌투,P
325,62360,김태훈,1996-03-31,177cm, 78kg,좌타,우투,P
326,76329,이현승,1983-10-11,179cm, 87kg,좌타,좌투,P
327,61643,홍건희,1992-09-29,185cm, 92kg,우타,우투,P
328,64051,이영준,1991-10-10,184cm, 97kg,좌타,좌투,P
329,62951,이형범,1994-02-27,181cm, 86kg,우타,우투,P
330,68341,안우진,1999-08-30,191cm, 90kg,우타,우투,P
331,65241,채지선,1995-07-11,180cm, 70kg,좌타,우투,P
332,76430,김상수,1990-03-23,175cm, 68kg,우타,우투,P
333,69446,원태인,2000-04-06,183cm, 92kg,우타,우투,P
334,65769,김범수,1995-10-03,182cm, 81kg,좌타,좌투,P
335,61365,김대우,1984-07-26,189cm, 95kg,좌타,우투,P
336,68701,김진욱,2000-01-13,176cm, 79kg,우타,우투,P
337,60146,이승현,1991-11-20,181cm, 92kg,우타,우투,P
338,73738,안영명,1984-11-19,183cm, 90kg,우타,우투,P
339,50705,강재민,1997-04-03,180cm, 86kg,우타,우투,P
340,68403,김윤수,1999-12-08,183cm, 94kg,우타,우투,P
341,63765,김종수,1994-06-03,180cm, 80kg,우타,우투,P
342,75421,오승환,1982-07-15,178cm, 93kg,우타,우투,P
343,74857,정우람,1985-06-01,181cm, 82kg,좌타,좌투,P
344,69839,백승건,2000-10-29,183cm, 85kg,좌타,좌투,P
345,78148,정찬헌,1990-01-26,187cm, 94kg,우타,우투,P
346,76350,김세현,1987-08-07,188cm, 98kg,우타,우투,P
347,62146,최성훈,1989-10-11,178cm, 75kg,좌타,좌투,P
348,69159,정우영,1999-08-19,193cm, 85kg,우타,우언,P
349,76650,진해수,1986-06-26,187cm, 85kg,좌타,좌투,P
350,79140,최동환,1989-09-19,184cm, 83kg,우타,우투,P
351,67119,고우석,1998-08-06,182cm, 90kg,우타,우투,P
352,68419,최채흥,1995-01-22,186cm, 97kg,좌타,좌투,P
353,65764,김민우,1995-07-25,189cm, 105kg,우타,우투,P
354,61156,송윤준,1992-07-16,186cm, 78kg,좌타,좌투,P
355,67421,최지광,1998-03-13,173cm, 85kg,우타,우투,P
356,73117,우규민,1985-01-21,184cm, 75kg,좌타,우언,P
357,62611,임준섭,1989-07-16,181cm, 88kg,좌타,좌투,P
358,63464,윤대경,1994-04-09,179cm, 75kg,우타,우투,P
359,63961,윤호솔,1994-07-15,183cm, 99kg,우타,우투,P
360,77637,양현종,1988-03-01,183cm, 91kg,좌타,좌투,P
361,50040,데스파이네,1987-04-04,182cm, 92kg,우타,우투,P
362,78247,홍상삼,1990-02-13,188cm, 85kg,좌타,우투,P
363,65643,문경찬,1992-07-08,186cm, 85kg,우타,우투,P
364,64047,조현우,1994-03-30,182cm, 79kg,좌타,좌투,P
365,63628,고영창,1989-02-24,189cm, 100kg,우타,우투,P
366,75342,이보근,1986-04-30,187cm, 90kg,우타,우투,P
367,60841,박종훈,1991-08-13,186cm, 85kg,우타,우언,P
368,61101,임찬규,1992-11-20,185cm, 80kg,우타,우투,P
369,76858,박희수,1983-07-13,184cm, 88kg,좌타,좌투,P
370,69134,이정용,1996-03-26,186cm, 85kg,우타,우투,P
371,79617,정용운,1990-07-06,185cm, 90kg,좌타,좌투,P
372,79229,유희관,1986-06-01,180cm, 88kg,좌타,좌투,P
373,65320,최원태,1997-01-07,184cm, 93kg,우타,우투,P
374,77263,김강률,1988-08-28,187cm, 95kg,우타,우투,P
375,61268,양현,1992-08-23,188cm, 70kg,우타,우언,P
376,67266,박치국,1998-03-10,177cm, 78kg,우타,우언,P
377,63342,조상우,1994-09-04,186cm, 97kg,우타,우투,P
378,69103,켈리,1989-10-04,191cm, 98kg,우타,우투,P
