,playerID,retroID
356,69762,69762abc
357,69045,69045abc
358,69539,69539abc
359,69516,69516abc
360,69047,69047abc
361,69974,69974abc
362,69646,69646abc
363,69054,69054abc
364,64554,64554abc
365,69645,69645abc
366,64768,64768abc
367,69594,69594abc
368,67116,67116abc
369,68501,68501abc
370,64718,64718abc
371,69745,69745abc
372,67604,67604abc
373,63961,63961abc
374,69158,69158abc
375,69962,69962abc
376,64615,64615abc
377,69969,69969abc
378,67048,67048abc
379,69839,69839abc
380,68529,68529abc
381,69360,69360abc
382,68830,68830abc
383,64047,64047abc
384,65827,65827abc
385,64760,64760abc
386,66444,66444abc
387,69399,69399abc
388,67365,67365abc
389,68616,68616abc
390,63791,63791abc
391,69111,69111abc
392,68403,68403abc
393,69953,69953abc
394,69168,69168abc
395,69439,69439abc
396,65117,65117abc
397,78517,78517abc
398,69068,69068abc
399,65398,65398abc
400,63103,63103abc
401,67962,67962abc
402,68050,68050abc
403,50815,50815abc
404,50040,50040abc
405,50558,50558abc
406,62294,62294abc
407,65241,65241abc
408,50157,50157abc
409,66630,66630abc
410,67391,67391abc
411,50835,50835abc
412,50912,50912abc
413,50126,50126abc
414,50636,50636abc
415,65411,65411abc
416,50404,50404abc
417,50234,50234abc
418,50640,50640abc
419,50030,50030abc
420,62908,62908abc
421,69098,69098abc
422,50441,50441abc
423,50036,50036abc
424,61156,61156abc
425,50524,50524abc
426,50449,50449abc
427,67259,67259abc
428,63464,63464abc
429,69737,69737abc
430,50296,50296abc
431,75421,75421abc
432,50705,50705abc
433,67045,67045abc
434,50464,50464abc
435,50726,50726abc
436,63292,63292abc
437,67954,67954abc
438,50900,50900abc
439,69205,69205abc
440,50592,50592abc
441,50662,50662abc
442,66039,66039abc
443,66663,66663abc
444,63492,63492abc
445,50360,50360abc
446,50556,50556abc
447,69134,69134abc
448,67164,67164abc
449,68902,68902abc
450,65057,65057abc
451,64896,64896abc
452,66557,66557abc
453,63914,63914abc
454,50298,50298abc
455,69703,69703abc
456,50859,50859abc
457,68910,68910abc
458,50203,50203abc
459,50109,50109abc
460,50397,50397abc
461,50262,50262abc
462,65937,65937abc
463,64580,64580abc
464,69104,69104abc
465,50813,50813abc
466,67711,67711abc
467,64041,64041abc
468,50706,50706abc
469,68207,68207abc
470,65949,65949abc
471,50430,50430abc
472,67956,67956abc
473,50992,50992abc
474,50901,50901abc
