,player_id,player_name,birth_date,throwing_hand,batting_hand,position
274,62595,정태승,1988-03-17,좌투,좌타,투수
275,67863,이원준,1998-07-02,우투,우타,투수
276,65618,황인준,1991-07-23,우투,우타,투수
277,68260,현도훈,1993-01-13,우투,좌타,투수
278,68200,김민규,1999-05-07,우투,좌타,투수
279,65802,봉민호,1996-06-26,좌투,좌타,투수
280,68556,정성종,1995-11-16,우투,좌타,투수
281,68419,최채흥,1995-01-22,좌투,좌타,투수
282,61268,양현,1992-08-23,우언,우타,투수
283,60764,김용주,1991-10-23,좌투,좌타,투수
284,68341,안우진,1999-08-30,우투,우타,투수
285,68036,최건,1999-04-10,우투,우타,투수
286,68130,김영준,1999-01-12,우투,우타,투수
287,67840,남윤성,1987-08-04,좌투,좌타,투수
288,75620,윤석민,1986-07-24,우투,우타,투수
289,67603,이승호,1999-02-08,좌투,좌타,투수
290,65964,이우석,1996-04-16,우투,우타,투수
291,68639,하준영,1999-09-06,좌투,좌타,투수
292,67122,김태형,1998-09-17,좌투,좌타,투수
293,68908,김재균,1999-01-17,좌투,좌타,투수
294,60336,문성현,1991-11-09,우투,우타,투수
295,64594,심규범,1991-09-04,좌투,좌타,투수
296,67762,김성훈,1998-02-04,우투,우타,투수
297,68794,헤일,1987-09-27,우투,우타,투수
298,67263,최동현,1994-12-21,우사,우타,투수
299,79130,강지광,1990-10-23,우투,우타,투수
300,63628,고영창,1989-02-24,우투,우타,투수
301,68043,김민,1999-04-14,우투,우타,투수
302,79339,전인환,1990-06-04,우투,우타,투수
303,68201,박성모,1995-02-22,좌투,좌타,투수
304,64255,한주성,1995-02-26,우투,우타,투수
305,68856,최민준,1999-06-11,우투,우타,투수
306,62918,김태형,1993-07-07,우투,우타,투수
307,65343,김택형,1996-10-10,좌투,좌타,투수
308,66064,김태오,1997-07-29,좌투,좌타,투수
309,68453,김용하,1999-07-27,우투,좌타,투수
310,76225,김건국,1988-02-02,우투,우타,투수
311,62655,홍성민,1989-07-15,우언,양타,투수
312,62611,임준섭,1989-07-16,좌투,좌타,투수
313,61295,강동연,1992-12-18,우투,우타,투수
314,66609,전상현,1996-04-18,우투,우타,투수
315,79535,허준혁,1990-09-30,좌투,좌타,투수
316,63991,박진우,1990-02-12,우언,우타,투수
317,64893,박민호,1992-02-25,우언,우타,투수
318,65048,김민수,1992-07-24,우투,우타,투수
319,63960,이상민,1990-11-04,좌투,좌타,투수
320,63765,김종수,1994-06-03,우투,우타,투수
321,66068,서의태,1997-09-05,좌투,좌타,투수
322,68848,조성훈,1999-03-22,우투,우타,투수
323,68159,성동현,1999-05-18,우투,우타,투수
324,63638,박준표,1992-06-26,우언,우타,투수
325,69744,서폴드,1990-01-16,우투,우타,투수
326,62242,윤명준,1989-06-18,우투,우타,투수
327,69032,쿠에바스,1990-10-14,우투,양타,투수
328,69813,하재훈,1990-10-29,우투,우타,투수
329,65665,이준영,1992-08-10,좌투,좌타,투수
330,69934,버틀러,1991-03-13,우투,우타,투수
331,69413,맥과이어,1989-06-23,우투,우타,투수
332,65496,홍정우,1996-03-16,우투,우타,투수
333,64565,이인복,1991-06-18,우투,우타,투수
334,69748,채드벨,1989-02-28,좌투,우타,투수
335,69041,손동현,2001-01-23,우투,좌타,투수
336,69640,터너,1991-05-21,우투,우타,투수
337,69103,켈리,1989-10-04,우투,우타,투수
338,69620,김기훈,2000-01-03,좌투,좌타,투수
339,69159,정우영,1999-08-19,우언,우타,투수
340,69940,루친스키,1988-12-30,우투,우타,투수
341,69343,요키시,1989-07-29,좌투,좌타,투수
342,69328,박주성,2000-11-09,우투,우타,투수
343,67008,이대은,1989-03-23,우투,좌타,투수
344,69861,다익손,1994-07-02,우투,우타,투수
345,69550,톰슨,1994-01-31,우투,우타,투수
346,69435,헤일리,1991-06-16,우투,우타,투수
347,69446,원태인,2000-04-06,우투,우타,투수
348,69656,윌랜드,1990-01-21,우투,우타,투수
349,68900,김영규,2000-02-10,좌투,좌타,투수
350,69762,박윤철,1996-03-23,우투,우타,투수
351,69045,알칸타라,1992-12-04,우투,우타,투수
352,69539,서준원,2000-11-05,우언,우타,투수
353,69516,김현수,2000-07-10,우투,우타,투수
354,69974,배민서,1999-11-18,우언,우타,투수
355,69646,양승철,1992-07-15,우투,우타,투수
356,69054,이상동,1995-11-24,우투,우타,투수
357,64554,문동욱,1992-01-07,우투,좌타,투수
358,69645,장지수,2000-05-25,우투,우타,투수
359,64768,조영우,1995-06-27,우투,좌타,투수
360,69594,박진,1999-04-02,우투,우타,투수
361,67116,오석주,1998-04-14,우투,우타,투수
362,68501,최하늘,1999-03-26,우언,우타,투수
363,64718,최영환,1992-02-20,우투,우타,투수
364,69745,김이환,2000-09-15,우투,우타,투수
365,67604,강이준,1998-04-07,우투,우타,투수
366,63961,윤호솔,1994-07-15,우투,우타,투수
367,69158,강정현,1995-09-23,우투,우타,투수
368,69962,송명기,2000-08-09,우투,우타,투수
369,64615,차명진,1995-03-03,우투,우타,투수
370,69969,전사민,1999-07-06,우투,우타,투수
371,67048,이정현,1997-12-05,우투,우타,투수
372,69839,백승건,2000-10-29,좌투,좌타,투수
373,68529,이승헌,1998-12-19,우투,우타,투수
374,69360,조영건,1999-02-04,우투,우타,투수
375,68830,김정우,1999-05-15,우투,우타,투수
376,64047,조현우,1994-03-30,좌투,좌타,투수
377,65827,조한욱,1996-12-19,우투,우타,투수
378,64760,황영국,1995-12-26,좌투,좌타,투수
379,66444,이케빈,1992-02-13,우투,우타,투수
380,69399,윤정현,1993-05-17,좌투,좌타,투수
381,67365,양기현,1998-12-16,우투,우타,투수
382,68616,김승범,1998-12-07,우투,우타,투수
383,63791,송창현,1989-08-17,좌투,좌타,투수
384,69111,한선태,1994-06-14,우언,우타,투수
