,player_id,retro_id
356,69054,69054abc
357,64554,64554abc
358,69645,69645abc
359,64768,64768abc
360,69594,69594abc
361,67116,67116abc
362,68501,68501abc
363,64718,64718abc
364,69745,69745abc
365,67604,67604abc
366,63961,63961abc
367,69158,69158abc
368,69962,69962abc
369,64615,64615abc
370,69969,69969abc
371,67048,67048abc
372,69839,69839abc
373,68529,68529abc
374,69360,69360abc
375,68830,68830abc
376,64047,64047abc
377,65827,65827abc
378,64760,64760abc
379,66444,66444abc
380,69399,69399abc
381,67365,67365abc
382,68616,68616abc
383,63791,63791abc
384,69111,69111abc
385,68403,68403abc
386,69953,69953abc
387,69168,69168abc
388,69439,69439abc
389,65117,65117abc
390,78517,78517abc
391,69068,69068abc
392,65398,65398abc
393,63103,63103abc
394,67962,67962abc
395,68050,68050abc
396,50815,50815abc
397,50040,50040abc
398,50558,50558abc
399,62294,62294abc
400,65241,65241abc
401,50157,50157abc
402,66630,66630abc
403,67391,67391abc
404,50835,50835abc
405,50912,50912abc
406,50126,50126abc
407,50636,50636abc
408,65411,65411abc
409,50404,50404abc
410,50234,50234abc
411,50640,50640abc
412,50030,50030abc
413,62908,62908abc
414,69098,69098abc
415,50441,50441abc
416,50036,50036abc
417,61156,61156abc
418,50524,50524abc
419,50449,50449abc
420,67259,67259abc
421,63464,63464abc
422,69737,69737abc
423,50296,50296abc
424,75421,75421abc
425,50705,50705abc
426,67045,67045abc
427,50464,50464abc
428,50726,50726abc
429,63292,63292abc
430,67954,67954abc
431,50900,50900abc
432,69205,69205abc
433,50592,50592abc
434,50662,50662abc
435,66039,66039abc
436,66663,66663abc
437,63492,63492abc
438,50360,50360abc
439,50556,50556abc
440,69134,69134abc
441,67164,67164abc
442,68902,68902abc
443,65057,65057abc
444,64896,64896abc
445,66557,66557abc
446,63914,63914abc
447,50298,50298abc
448,69703,69703abc
449,50859,50859abc
450,68910,68910abc
451,50203,50203abc
452,50109,50109abc
453,50397,50397abc
454,50262,50262abc
455,65937,65937abc
456,64580,64580abc
457,69104,69104abc
458,50813,50813abc
459,67711,67711abc
460,64041,64041abc
461,50706,50706abc
462,68207,68207abc
463,65949,65949abc
464,50430,50430abc
465,67956,67956abc
466,50992,50992abc
467,50901,50901abc
468,62768,62768abc
469,71347,71347abc
470,71752,71752abc
471,66740,66740abc
472,76249,76249abc
473,77248,77248abc
474,66244,66244abc
